method,tid,time,assigned_core,exec_big,exec_little,slack,deadline,arrival
dist_mean,0,4,0,2,2,7,11,4
dist_mean,1,8,1,7,11,34,42,8
dist_mean,2,10,0,5,8,14,24,10
dist_mean,3,12,0,2,3,11,23,12
dist_mean,4,16,1,12,19,73,89,16
dist_mean,5,16,1,7,11,35,51,16
dist_mean,6,18,0,5,7,25,43,18
dist_mean,7,29,1,12,20,54,83,29
dist_mean,8,37,1,10,16,53,90,37
dist_mean,9,41,0,2,2,6,47,41
dist_mean,10,44,0,3,5,10,54,44
dist_mean,11,50,0,3,4,8,58,50
dist_mean,12,52,0,5,7,22,74,52
dist_mean,13,57,1,10,17,64,121,57
dist_mean,14,60,0,2,3,10,70,60
dist_mean,15,60,0,3,5,16,76,60
dist_mean,16,61,1,12,20,37,98,61
dist_mean,17,63,1,9,14,41,104,63
dist_mean,18,66,0,4,6,24,90,66
dist_mean,19,71,0,3,5,20,91,71
dist_mean,20,76,1,10,16,43,119,76
dist_mean,21,77,1,10,17,31,108,77
dist_mean,22,83,1,12,19,66,149,83
dist_mean,23,97,0,5,7,11,108,97
dist_mean,24,102,0,4,6,11,113,102
dist_mean,25,121,0,3,4,12,133,121
dist_mean,26,121,0,7,11,18,139,121
dist_mean,27,124,0,8,13,24,148,124
dist_mean,28,126,0,3,4,13,139,126
dist_mean,29,137,0,3,5,17,154,137
dist_mean,30,141,1,12,19,53,194,141
dist_mean,31,153,0,2,3,6,159,153
dist_mean,32,155,0,6,10,32,187,155
dist_mean,33,156,0,2,2,8,164,156
dist_mean,34,157,1,10,16,48,205,157
dist_mean,35,157,0,6,10,25,182,157
dist_mean,36,158,0,3,4,9,167,158
dist_mean,37,165,1,9,15,39,204,165
dist_mean,38,172,0,6,10,38,210,172
dist_mean,39,177,0,3,5,20,197,177
dist_mean,40,180,0,4,6,24,204,180
dist_mean,41,180,1,9,15,38,218,180
dist_mean,42,186,1,11,18,54,240,186
dist_mean,43,197,1,11,18,60,257,197
dist_mean,44,200,0,2,3,8,208,200
dist_mean,45,205,0,5,8,19,224,205
dist_mean,46,210,1,10,17,58,268,210
dist_mean,47,221,1,10,17,39,260,221
dist_mean,48,225,0,2,3,9,234,225
dist_mean,49,230,0,3,5,11,241,230
dist_mean,50,231,1,9,14,37,268,231
dist_mean,51,242,0,5,7,23,265,242
dist_mean,52,243,0,6,10,24,267,243
dist_mean,53,246,0,5,7,14,260,246
dist_mean,54,256,0,3,4,12,268,256
dist_mean,55,257,1,10,16,57,314,257
dist_mean,56,261,0,3,5,8,269,261
dist_mean,57,282,0,3,5,13,295,282
dist_mean,58,282,0,3,5,20,302,282
dist_mean,59,291,1,9,15,52,343,291
dist_mean,60,306,0,2,3,6,312,306
dist_mean,61,310,0,2,3,8,318,310
dist_mean,62,311,0,2,2,7,318,311
dist_mean,63,312,1,11,18,55,367,312
dist_mean,64,316,1,12,19,37,353,316
dist_mean,65,321,0,6,10,33,354,321
dist_mean,66,346,0,3,5,16,362,346
dist_mean,67,349,1,12,19,75,424,349
dist_mean,68,353,0,3,4,8,361,353
dist_mean,69,368,0,3,4,16,384,368
dist_mean,70,374,0,6,9,15,389,374
dist_mean,71,376,0,5,8,30,406,376
dist_mean,72,395,1,12,19,55,450,395
dist_mean,73,405,0,7,11,36,441,405
dist_mean,74,408,0,7,11,34,442,408
dist_mean,75,414,0,2,2,6,420,414
dist_mean,76,426,0,4,6,10,436,426
dist_mean,77,433,0,3,5,19,452,433
dist_mean,78,438,1,10,16,50,488,438
dist_mean,79,449,0,6,9,24,473,449
dist_mean,80,459,0,2,2,6,465,459
dist_mean,81,467,0,2,2,7,474,467
dist_mean,82,469,1,12,20,56,525,469
dist_mean,83,469,0,6,9,24,493,469
dist_mean,84,471,0,2,2,5,476,471
dist_mean,85,472,1,8,13,48,520,472
dist_mean,86,473,0,8,12,22,495,473
dist_mean,87,479,0,3,5,15,494,479
dist_mean,88,480,1,8,13,43,523,480
dist_mean,89,480,1,9,15,51,531,480
dist_mean,90,492,1,11,18,52,544,492
dist_mean,91,496,0,3,5,12,508,496
dist_mean,92,498,1,9,14,24,522,498
dist_mean,93,502,0,6,9,29,531,502
dist_mean,94,509,1,11,18,59,568,509
dist_mean,95,510,0,6,10,30,540,510
dist_mean,96,518,0,3,4,16,534,518
dist_mean,97,520,1,9,15,41,561,520
dist_mean,98,526,1,9,14,44,570,526
dist_mean,99,536,0,2,3,6,542,536
dist_mean,100,544,0,2,3,11,555,544
dist_mean,101,551,0,6,9,25,576,551
dist_mean,102,556,0,2,2,6,562,556
dist_mean,103,559,1,11,18,51,610,559
dist_mean,104,560,0,4,6,22,582,560
dist_mean,105,578,0,8,12,42,620,578
dist_mean,106,581,0,8,13,31,612,581
dist_mean,107,582,0,7,11,38,620,582
dist_mean,108,595,1,9,14,55,650,595
dist_mean,109,595,0,2,3,11,606,595
dist_mean,110,595,0,2,3,6,601,595
dist_mean,111,600,0,4,6,16,616,600
dist_mean,112,600,0,3,4,10,610,600
dist_mean,113,600,0,4,6,18,618,600
dist_mean,114,600,0,7,11,30,630,600
dist_mean,115,600,0,6,10,23,623,600
dist_mean,116,600,1,9,14,25,625,600
dist_mean,117,600,0,2,2,7,607,600
dist_mean,118,600,0,7,11,19,619,600
dist_mean,119,600,0,6,10,19,619,600
dist_mean,120,600,0,5,8,27,627,600
dist_mean,121,600,0,2,2,5,605,600
dist_mean,122,600,1,5,8,25,625,600
dist_mean,123,600,1,12,20,58,658,600
dist_mean,124,600,1,12,19,42,642,600
dist_mean,125,600,1,10,17,67,667,600
dist_mean,126,600,0,4,6,18,618,600
dist_mean,127,600,1,9,15,56,656,600
dist_mean,128,600,1,9,14,46,646,600
dist_mean,129,600,1,5,8,27,627,600
dist_mean,130,600,1,10,17,36,636,600
dist_mean,131,600,1,8,13,30,630,600
dist_mean,132,600,1,9,15,45,645,600
dist_mean,133,600,0,5,8,14,614,600
dist_mean,134,600,0,2,3,6,606,600
dist_mean,135,600,1,10,16,31,631,600
dist_mean,136,600,1,12,20,77,677,600
dist_mean,137,600,0,2,3,11,611,600
dist_mean,138,600,0,3,4,8,608,600
dist_mean,139,600,1,11,18,28,628,600
dist_mean,140,600,0,2,3,9,609,600
dist_mean,141,600,1,10,17,66,666,600
dist_mean,142,600,1,8,13,22,622,600
dist_mean,143,600,1,5,8,25,625,600
dist_mean,144,600,1,5,8,25,625,600
dist_mean,145,600,1,7,11,23,623,600
dist_mean,146,600,1,12,19,52,652,600
dist_mean,147,600,1,6,10,40,640,600
dist_mean,148,600,1,5,7,16,616,600
dist_mean,149,600,1,5,7,22,622,600
dist_mean,150,600,1,9,14,49,649,600
dist_mean,151,600,1,10,16,52,652,600
dist_mean,152,600,1,5,7,23,623,600
dist_mean,153,600,1,8,12,33,633,600
dist_mean,154,600,0,3,5,17,617,600
dist_mean,155,600,1,4,6,22,622,600
dist_mean,156,600,0,3,5,11,611,600
dist_mean,157,600,1,12,19,41,641,600
dist_mean,158,600,0,2,3,12,612,600
dist_mean,159,600,1,8,13,28,628,600
